model,lookback,future,pos,val,temp,mse_T,mse_L,mae_T,mae_L,rmse_T,rmse_L,mape_T,mape_L,R2_T,R2_L,mspe,rse
Transformer,120,1,FALSE,FALSE,TRUE,0.00136978,0.16402679,0.02632346,0.35800727,0.03701057,0.4050022,0.01057886,0.16042564,0.99310106,0.1737797,0.00020161,0.08305985
Transformer,120,12,FALSE,FALSE,TRUE,0.00605348,0.02425327,0.05647001,0.13031294,0.07780411,0.1557346,0.02362479,0.0594855,0.96919005,0.87683726,0.00106645,0.1753379
Transformer,120,24,FALSE,FALSE,TRUE,0.01214795,0.4381433,0.08206308,0.60200577,0.11021775,0.66192394,0.03460363,0.2748855,0.93742833,-1.24663998,0.00218945,0.24961933
Transformer,120,96,FALSE,FALSE,TRUE,0.04246354,0.64724483,0.15748738,0.73896376,0.20606685,0.80451528,0.06710948,0.33812395,0.76655398,-2.49636155,0.0080229,0.47832271
Transformer,120,192,FALSE,FALSE,TRUE,0.09368039,0.71486429,0.24169843,0.77804694,0.30607253,0.84549647,0.10503728,0.35612121,0.43281156,-3.13250436,0.01872421,0.73443013
Transformer,120,336,FALSE,FALSE,TRUE,0.20845476,0.81790846,0.38386583,0.83934004,0.45656845,0.90438291,0.16982648,0.38376555,-0.46125446,-4.20195802,0.04275419,1.15009999
Transformer,144,1,FALSE,FALSE,TRUE,0.00162016,0.16809693,0.0295535,0.36425806,0.04025121,0.40999626,0.01173799,0.16429163,0.99151014,0.11915249,0.00023595,0.09214044
Transformer,144,12,FALSE,FALSE,TRUE,0.00596339,0.00754933,0.05652174,0.06544822,0.07722302,0.08688688,0.02377395,0.02753638,0.96838592,0.96006457,0.00106651,0.17759974
Transformer,144,24,FALSE,FALSE,TRUE,0.01160723,0.44835895,0.08150122,0.60954854,0.10773685,0.66959611,0.03469029,0.27897443,0.93782068,-1.39281339,0.00213407,0.24886993
Transformer,144,96,FALSE,FALSE,TRUE,0.07455154,0.67000567,0.2197991,0.75298008,0.27304128,0.81853874,0.09649102,0.34489985,0.57683671,-2.7538419,0.01516887,0.64584243
Transformer,144,192,FALSE,FALSE,TRUE,0.08569261,0.74405047,0.2365143,0.79565024,0.29273298,0.8625836,0.10342684,0.36438602,0.46448751,-3.4652783,0.01719914,0.71628612
Transformer,144,336,FALSE,FALSE,TRUE,0.28599477,0.76272655,0.46797943,0.810145,0.53478479,0.87334217,0.2069838,0.37090644,-1.0561241,-4.0486796,0.05846088,1.37582791
